,web-scraper-order,web-scraper-start-url,books,books-href,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,places,awards,awards_won,mean_norm_ratings,min_max_norm_ratings
737,1618238583-3436,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Day of the Triffids,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids,The Day of the Triffids,John Wyndham,3650,93024,4.02,228,2003,True,Classics,"['London, England', 'United Kingdom', 'United Kingdom']",International Fantasy Award Nominee for Fiction (1952),1.0,5.691524390243899,6.158536585365849
738,1618238550-3317,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Alas, Babylon",https://www.goodreads.com/book/show/38169.Alas_Babylon,"Alas, Babylon",Pat Frank,3319,40736,4.08,323,2005,False,Classics,['nan'],Audie Award for Fiction (2012),1.0,6.020792682926829,6.817073170731708
739,1618238596-3490,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Atlas Shrugged,https://www.goodreads.com/book/show/662.Atlas_Shrugged,Atlas Shrugged,Ayn Rand,17825,361689,3.69,1168,1999,False,Novels,['nan'],"Prometheus Hall of Fame Award (1983), National Book Award Finalist for Fiction (1958)",2.0,3.880548780487805,2.5365853658536595
740,1618238683-3806,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Oryx and Crake (MaddAddam, #1)",https://www.goodreads.com/book/show/46756.Oryx_and_Crake,Oryx and Crake,Margaret Atwood,13951,231236,4.01,389,2004,True,Sci-Fi,['nan'],"Booker Prize Nominee (2003), Orange Prize Nominee for Fiction Shortlist (2004), Sunburst Award Nominee for Canadian Novel (2004), Scotiabank Giller Prize Nominee (2003), Grand Prix de l'Imaginaire Nominee for Roman étranger (2006)",5.0,5.636646341463413,6.048780487804876
741,1618238548-3309,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Chrysalids,https://www.goodreads.com/book/show/826845.The_Chrysalids,The Chrysalids,John Wyndham,2282,44901,3.93,200,1977,False,Apocalyptic,['nan'],Złota Sepulka for Książka autora zagranicznego (1985),1.0,5.197621951219513,5.170731707317075
742,1618238721-3963,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,32941,1508925,3.99,268,1998,False,Sci-Fi Fantasy,['nan'],,0.0,5.526890243902439,5.829268292682929
743,1618238664-3740,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,28424,1172959,4.08,275,1999,False,Novels,['nan'],"Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)",4.0,6.020792682926829,6.817073170731708
744,1618238666-3745,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The City of Ember (Book of Ember, #1)",https://www.goodreads.com/book/show/307791.The_City_of_Ember,The City of Ember,Jeanne DuPrau,11440,255528,3.86,288,2003,True,Sci-Fi,['nan'],"California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Dorothy Canfield Fisher Children's Book Award Nominee (2005), Child Magazine Best Book of the Year
                      ...more
                          Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006)
...less",13.0,4.813475609756097,4.402439024390244
745,1618238645-3679,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The Selection (The Selection, #1)",https://www.goodreads.com/book/show/10507293-the-selection,The Selection,Kiera Cass,53131,989782,4.12,336,2012,True,Sci-Fi,['nan'],"Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)",2.0,6.24030487804878,7.25609756097561
746,1618238724-3966,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Divergent (Divergent, #1)",https://www.goodreads.com/book/show/13335037-divergent,Divergent,Veronica Roth,109706,3067979,4.18,487,2012,True,Fiction,"['Chicago, Illinois', 'United States']","Georgia Peach Book Award (2012), South Carolina Book Award for Young Adult (2014), Rhode Island Teen Book Award (2013), Evergreen Teen Book Award (2014), Soaring Eagle Book Award (2012)
                      ...more
                          Milwaukee County Teen Book Award Nominee (2012), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012), Sakura Medal, New Mexico Land of Enchantment Award for Young Adult (2014), Eliot Rosewater Indiana High School Book Award (2014), California Young Readers Medal for Young Adult (2014), Lincoln Award Nominee (2014), DABWAHA Romance Tournament for Best Young Adult Romance (2012), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011), Green Mountain Book Award (2013), The Magnolia Award for 6-8 (2014), Louisiana Teen Readers' Choice (2014), Missouri Gateway Readers Award (2014), Oklahoma Sequoyah Award for High Schol (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)
...less",19.0,6.569573170731704,7.91463414634146
747,1618238566-3374,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Station Eleven,https://www.goodreads.com/book/show/20170404-station-eleven,Station Eleven,Emily St. John Mandel,40680,348271,4.05,333,2014,False,Fiction,"['Toronto, Ontario', 'Canada', 'Michigan', 'United States']","Locus Award Nominee for Best SF Novel (2015), Arthur C. Clarke Award (2015), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (Best Foreign Work) (2016), PEN/Faulkner Award for Fiction Nominee (2015), Sunburst Award Nominee for Adult (2015)
                      ...more
                          John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), British Fantasy Award Nominee for Best Horror Novel (August Derleth Award) (2015), NAIBA Book of the Year for Fiction (2015), Toronto Book Award Nominee (2015), The Great Michigan Read (2015), Women's Prize for Fiction Nominee for Longlist (2015), Andrew Carnegie Medal Nominee for Fiction (2015), National Book Award Finalist for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2014), The Rooster -- The Morning News Tournament of Books (2015)
...less",15.0,5.856158536585364,6.487804878048778
748,1618238496-3111,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The V Girl: A Coming Of Age Story,https://www.goodreads.com/book/show/25437891-the-v-girl,The V Girl: A Coming Of Age Story,Mya Robarts,1329,11679,4.02,340,2015,False,Sci-Fi,['nan'],,0.0,5.691524390243899,6.158536585365849
749,1618238671-3767,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Do Androids Dream of Electric Sheep? (Blade Runner, #1)",https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_,Do Androids Dream of Electric Sheep?,Philip K. Dick,14006,368427,4.08,244,1996,True,Sci-Fi,"['San Francisco, California', 'United States', 'California', 'United States', 'United States of America']",Nebula Award Nominee for Best Novel (1968),1.0,6.020792682926829,6.817073170731708
750,1618238588-3459,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The House of the Scorpion (Matteo Alacran, #1)",https://www.goodreads.com/book/show/13376.The_House_of_the_Scorpion,The House of the Scorpion,Nancy Farmer,6485,85437,4.06,380,2004,True,Young Adult,['nan'],"Newbery Medal Nominee (2003), National Book Award for Young People's Literature (2002), Mythopoeic Fantasy Award Nominee for Children's Literature (2003), Buxtehuder Bulle (2003), Michael L. Printz Award Nominee (2003)
                      ...more
                          South Carolina Book Award for Junior Book Award (2006), Grand Canyon Reader Award for Teen Book (2005), Rhode Island Teen Book Award (2004), Dorothy Canfield Fisher Children's Book Award Nominee (2004), Pacific Northwest Library Association Young Reader's Choice Award for Senior (2005), Michigan Library Association Thumbs Up! Award Nominee (2003), Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2005), Oklahoma Sequoyah Award for YA (2005)
...less",14.0,5.91103658536585,6.597560975609752
751,1618238617-3565,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Gone (Gone, #1)",https://www.goodreads.com/book/show/2536134.Gone,Gone,Michael  Grant,10983,185183,3.86,560,2008,True,Sci-Fi,"['Perdido Beach, California', 'United States']",Missouri Truman Readers Award Nominee (2011),1.0,4.813475609756097,4.402439024390244
752,1618238525-3218,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Planet of the Apes,https://www.goodreads.com/book/show/414895.Planet_of_the_Apes,Planet of the Apes,Pierre Boulle,1592,34912,3.96,268,2001,False,Fantasy,['nan'],,0.0,5.362256097560975,5.5
753,1618238493-3101,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Logan's Run,https://www.goodreads.com/book/show/73654.Logan_s_Run,Logan's Run,William F. Nolan,650,10471,3.66,149,1976,True,Adventure,['nan'],,0.0,3.7159146341463423,2.207317073170735
754,1618238477-3053,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Gate to Women's Country,https://www.goodreads.com/book/show/104344.The_Gate_to_Women_s_Country,The Gate to Women's Country,Sheri S. Tepper,784,12470,4.06,315,1999,False,Gender,['nan'],"Locus Award for Best Fantasy Novel (1992), Arthur C. Clarke Award Nominee (1998)",2.0,5.91103658536585,6.597560975609752
755,1618238711-3918,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Lord of the Flies,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies,William Golding,39791,2361093,3.69,182,1999,False,Literature,"['All Editions', 'Add a New Edition', 'Combine']",,0.0,3.880548780487805,2.5365853658536595
756,1618238668-3763,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,Watchmen,Alan Moore,14675,499362,4.37,416,2005,True,Sci-Fi,"['New York City, New York,', '1985', 'United States']","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      ...more
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)
...less",8.0,7.612256097560975,10.0
757,1618238599-3497,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Wither (The Chemical Garden, #1)",https://www.goodreads.com/book/show/8525590-wither,Wither,Lauren DeStefano,8122,99221,3.79,358,2011,True,Sci-Fi,"['Florida', 'United States']","Rhode Island Teen Book Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2011)",2.0,4.429329268292683,3.634146341463416
758,1618238688-3830,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Unwind (Unwind, #1)",https://www.goodreads.com/book/show/764347.Unwind,Unwind,Neal Shusterman,19129,202026,4.16,337,2007,True,Young Adult,"['Akron, Ohio', 'United States', 'Ohio', 'United States', 'Scottsburg, Indiana', 'United States', 'Arizona', 'United States', 'Joplin, Missouri', 'United States']","Rhode Island Teen Book Award Nominee (2010), Evergreen Teen Book Award (2010), Sakura Medal for Middle School Book (2009), Florida Teens Read Nominee (2009), Eliot Rosewater Indiana High School Book Award (2010)
                      ...more
                          California Young Readers Medal Nominee for Young Adult (2011), Gouden Lijst Nominee (2013), Green Mountain Book Award (2010), Missouri Gateway Readers Award Nominee (2010), Oklahoma Sequoyah Award for Intermediate (2010)
...less",10.0,6.459817073170732,7.695121951219513
759,1618238480-3059,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Stranger in a Strange Land,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Stranger in a Strange Land,Robert A. Heinlein,8309,282233,3.92,525,1991,False,Novels,['nan'],"Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)",2.0,5.142743902439023,5.060975609756097
760,1618238695-3859,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Delirium (Delirium, #1)",https://www.goodreads.com/book/show/11614718-delirium,Delirium,Lauren Oliver,26701,430741,3.96,441,2012,True,Fiction,"['Portland, Maine', 'United States']","Buxtehuder Bulle (2011), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011), Missouri Gateway Readers Award Nominee (2014)",4.0,5.362256097560975,5.5
761,1618238540-3274,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The Forever War (The Forever War, #1)",https://www.goodreads.com/book/show/21611.The_Forever_War,The Forever War,Joe Haldeman,6094,145418,4.14,278,2003,True,Sci-Fi,['nan'],"Hugo Award for Best Novel (1976), Nebula Award for Best Novel (1975), Locus Award for Best Novel (1976), Ditmar Award for Best International Long Fiction (1976)",4.0,6.350060975609753,7.475609756097557
762,1618238519-3195,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Blood Red Road (Dust Lands, #1)",https://www.goodreads.com/book/show/9917938-blood-red-road,Blood Red Road,Moira Young,5828,61335,3.9,459,2011,True,Sci-Fi,['nan'],"Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012)
                      ...more
                          Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013)
...less",10.0,5.032987804878048,4.841463414634147
763,1618238645-3677,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The Selection (The Selection, #1)",https://www.goodreads.com/book/show/10507293-the-selection,The Selection,Kiera Cass,53131,989782,4.12,336,2012,True,Fantasy,['nan'],"Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)",2.0,6.24030487804878,7.25609756097561
764,1618238640-3658,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Gunslinger,https://www.goodreads.com/book/show/43615.The_Gunslinger,The Gunslinger,Stephen King,19698,533647,3.94,231,2003,True,Westerns,['nan'],,0.0,5.2524999999999995,5.280487804878049
765,1618238629-3622,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The Knife of Never Letting Go (Chaos Walking, #1)",https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go,The Knife of Never Letting Go,Patrick Ness,17884,166899,3.97,512,2014,True,Thriller,['New World'],"Guardian Children's Fiction Prize (2008), Manchester Book Award  Nominee for Longlist (2009), Odyssey Award Nominee (2011), James Tiptree Jr. Award (2008), Milwaukee County Teen Book Award Nominee (2010)
                      ...more
                          Dioraphte Jongerenliteratuurprijs Nominee (2014), Carnegie Medal Nominee (2009), Green Mountain Book Award (2012)
...less",8.0,5.417134146341464,5.609756097560978
766,1618238632-3629,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Life As We Knew It (Last Survivors, #1)",https://www.goodreads.com/book/show/213753.Life_As_We_Knew_It,Life As We Knew It,Susan Beth Pfeffer,9881,120456,3.87,337,2006,True,Adventure,"['Pennsylvania', 'United States', 'Howell, Pennsylvania', 'United States']","Buxtehuder Bulle (2010), South Carolina Book Award Nominee for Young Adult Book (2009), Rhode Island Teen Book Award Nominee (2008), Evergreen Teen Book Award (2009), The Inky Awards Nominee for Silver Inky (2008)
                      ...more
                          California Young Readers Medal Nominee for Young Adult (2009), Andre Norton Award Nominee (2006), Missouri Truman Readers Award (2009), Missouri Gateway Readers Award Nominee (2009), Rebecca Caudill Young Readers' Book Award Nominee (2009)
...less",10.0,4.868353658536586,4.512195121951221
767,1618238596-3492,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Atlas Shrugged,https://www.goodreads.com/book/show/662.Atlas_Shrugged,Atlas Shrugged,Ayn Rand,17825,361689,3.69,1168,1999,False,Economics,['nan'],"Prometheus Hall of Fame Award (1983), National Book Award Finalist for Fiction (1958)",2.0,3.880548780487805,2.5365853658536595
768,1618238627-3604,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Shatter Me (Shatter Me, #1)",https://www.goodreads.com/book/show/10429045-shatter-me,Shatter Me,Tahereh Mafi,30646,316820,3.94,338,2011,True,Young Adult,['nan'],Arab American Book Award Nominee for Children's/Young Adult (2013),1.0,5.2524999999999995,5.280487804878049
769,1618238619-3581,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Blindness,https://www.goodreads.com/book/show/2526.Blindness,Blindness,José Saramago,17528,216124,4.14,326,1999,True,Horror,['nan'],"Premio San Clemente for Novela Estranxeira (1999), International Dublin Literary Award Nominee (1999)",2.0,6.350060975609753,7.475609756097557
770,1618238512-3168,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Shades of Grey (Shades of Grey, #1)",https://www.goodreads.com/book/show/2113260.Shades_of_Grey,Shades of Grey,Jasper Fforde,4258,32986,4.15,400,2009,True,Humor,['nan'],"Locus Award Nominee for Best Fantasy Novel (2011), Warwick Prize for Writing Nominee for Longlist (2011), Prix Julia Verlanger (2012)",3.0,6.404939024390245,7.58536585365854
771,1618238685-3821,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Never Let Me Go,https://www.goodreads.com/book/show/6334.Never_Let_Me_Go,Never Let Me Go,Kazuo Ishiguro,33698,506489,3.83,288,2010,False,Romance,['nan'],"Booker Prize Nominee (2005), Locus Award Nominee for Best SF Novel (2006), Arthur C. Clarke Award Nominee (2006), James Tait Black Memorial Prize Nominee for Fiction (2005), ALA Alex Award (2006)
                      ...more
                          National Book Critics Circle Award Nominee for Fiction (2005), Corine Internationaler Buchpreis for Belletristik (2006), International Dublin Literary Award Nominee (2007)
...less",8.0,4.648841463414634,4.073170731707319
